Connector ID,Full sentence,Gap sentence,Correct answer,Accepted alternatives,Alternative notes,Context,Difficulty,Tested skill
S10,"Er schreibt bessere Aufsätze, seitdem er viel liest.","Er schreibt bessere Aufsätze, ______ er viel liest.",seitdem,seit,Verb at end,School,Medium,Improvement since
S10,"Seitdem wir umgezogen sind, habe ich einen kürzeren Schulweg.","______ wir umgezogen sind, habe ich einen kürzeren Schulweg.",Seitdem,Seit,Capitalized,Everyday,Medium,Change since move
S10,"Seitdem der neue Spielplatz offen ist, spielen dort viele Kinder.","______ der neue Spielplatz offen ist, spielen dort viele Kinder.",Seitdem,Seit,Capitalized,Everyday,Easy,Since-opening clause
A06,"Er lernte den ganzen Tag, ausserdem half er noch im Haushalt.","Er lernte den ganzen Tag, ______ half er noch im Haushalt.",ausserdem,zudem,Additive adverb; inversion follows,School & Home,Medium,Additive adverb inversion
A06,"Das Hotel war günstig, ausserdem lag es sehr zentral.","Das Hotel war günstig, ______ lag es sehr zentral.",ausserdem,zudem,Inversion,Travel,Medium,Adding a point
A06,"Sie spielt Klavier, ausserdem singt sie im Schulchor.","Sie spielt Klavier, ______ singt sie im Schulchor.",ausserdem,zudem,,Hobbies,Easy,Extra information
A06,"Der Ausflug war lehrreich, ausserdem hat er grossen Spass gemacht.","Der Ausflug war lehrreich, ______ hat er grossen Spass gemacht.",ausserdem,zudem,,School,Medium,Additional benefit
A06,"Es war kalt, ausserdem blies ein starker Wind.","Es war kalt, ______ blies ein starker Wind.",ausserdem,zudem,,Nature,Easy,Adding a condition
A07,"Der Plan klingt gut, allerdings ist er ziemlich teuer.","Der Plan klingt gut, ______ ist er ziemlich teuer.",allerdings,jedoch,Limiting adverb; inversion,Everyday,Medium,Limiting adverb inversion
A07,"Sie ist sehr begabt, allerdings übt sie zu wenig.","Sie ist sehr begabt, ______ übt sie zu wenig.",allerdings,jedoch,Inversion,School,Medium,Concessive limitation
A07,"Die Wanderung war schön, allerdings war sie ziemlich anstrengend.","Die Wanderung war schön, ______ war sie ziemlich anstrengend.",allerdings,jedoch,Swiss outdoor context,Nature & Travel,Medium,Qualifying statement
A07,"Das Spiel hat Spass gemacht, allerdings haben wir knapp verloren.","Das Spiel hat Spass gemacht, ______ haben wir knapp verloren.",allerdings,jedoch,,Hobbies,Medium,Limiting a positive
A07,"Der Kuchen sieht lecker aus, allerdings ist er sehr süss.","Der Kuchen sieht lecker aus, ______ ist er sehr süss.",allerdings,jedoch,,Everyday,Easy,Adding a reservation
A08,"Wir machten zuerst die Hausaufgaben. Danach durften wir spielen.","Wir machten zuerst die Hausaufgaben. ______ durften wir spielen.",Danach,Dann,'dann' is interchangeable here; NOT 'nachdem',Everyday,Medium,Temporal sequence adverb
A08,"Zuerst frühstückten wir, danach packten wir die Rucksäcke.","Zuerst frühstückten wir, ______ packten wir die Rucksäcke.",danach,dann,'dann' interchangeable,Travel,Medium,Chronological adverb
A08,"Sie las das Kapitel. Danach beantwortete sie die Fragen.","Sie las das Kapitel. ______ beantwortete sie die Fragen.",Danach,Dann,'dann' interchangeable,School,Medium,After-that sequence
A08,"Wir besuchten das Museum, danach gingen wir ein Eis essen.","Wir besuchten das Museum, ______ gingen wir ein Eis essen.",danach,dann / später,Sequence with a real gap: 'dann' and 'später' both fit,Hobbies,Easy,Sequence of activities
A08,"Er wärmte sich auf. Danach begann das eigentliche Training.","Er wärmte sich auf. ______ begann das eigentliche Training.",Danach,Dann,'dann' interchangeable,Hobbies,Medium,Ordered steps
A09,"Zuerst rührst du den Teig, dann gibst du ihn in den Ofen.","Zuerst rührst du den Teig, ______ gibst du ihn in den Ofen.",dann,danach,'danach' interchangeable,Everyday,Easy,Sequential adverb
A09,"Wir packten alles ein, dann fuhren wir los.","Wir packten alles ein, ______ fuhren wir los.",dann,danach,'danach' interchangeable,Travel,Easy,Next-step adverb
A09,"Lies zuerst die Aufgabe, dann beginne mit der Lösung.","Lies zuerst die Aufgabe, ______ beginne mit der Lösung.",dann,danach,'danach' interchangeable,School,Easy,Instruction sequence
A09,"Wir schauten uns um, dann entschieden wir uns für den Weg.","Wir schauten uns um, ______ entschieden wir uns für den Weg.",dann,danach,'danach' interchangeable,Nature & Travel,Medium,Decision sequence
A09,"Erst putzt du die Zähne, dann gehst du ins Bett.","Erst putzt du die Zähne, ______ gehst du ins Bett.",dann,danach,'danach' interchangeable,Family,Easy,Routine order
A10,"Wir diskutierten lange. Schliesslich einigten wir uns auf einen Plan.","Wir diskutierten lange. ______ einigten wir uns auf einen Plan.",Schliesslich,,Concluding adverb; inversion,School,Medium,Concluding adverb
A10,"Sie suchte überall, schliesslich fand sie den Schlüssel im Garten.","Sie suchte überall, ______ fand sie den Schlüssel im Garten.",schliesslich,,Inversion,Everyday,Medium,Final-outcome adverb
A10,"Nach vielen anstrengenden Stunden und tausend Höhenmetern erreichten wir schliesslich den lang ersehnten Gipfel.","Nach vielen anstrengenden Stunden und tausend Höhenmetern erreichten wir ______ den lang ersehnten Gipfel.",schliesslich,,'lang ersehnt' + long effort force 'finally/at last'; neutral 'später/dann' unsuitable,Nature & Travel,Medium,Reaching a conclusion
A10,"Er überlegte hin und her, schliesslich traf er eine Entscheidung.","Er überlegte hin und her, ______ traf er eine Entscheidung.",schliesslich,,,Everyday,Medium,Final decision
A10,"Das Team kämpfte hart, schliesslich gewann es das Turnier.","Das Team kämpfte hart, ______ gewann es das Turnier.",schliesslich,,,Hobbies,Medium,Ultimate result
A11,"Wir sassen ruhig am See. Plötzlich sprang ein Fisch aus dem Wasser.","Wir sassen ruhig am See. ______ sprang ein Fisch aus dem Wasser.",Plötzlich,,Narrative surprise adverb; inversion,Nature,Medium,Narrative surprise adverb
A11,"Alles war still, plötzlich klingelte laut das Telefon.","Alles war still, ______ klingelte laut das Telefon.",plötzlich,,Inversion,Everyday,Easy,Sudden event
A11,"Wir gingen den Weg entlang, plötzlich stand ein Reh vor uns.","Wir gingen den Weg entlang, ______ stand ein Reh vor uns.",plötzlich,,Swiss nature context,Nature & Travel,Medium,Unexpected encounter
A11,"Das Spiel war ausgeglichen. Plötzlich fiel das entscheidende Tor.","Das Spiel war ausgeglichen. ______ fiel das entscheidende Tor.",Plötzlich,,,Hobbies,Medium,Turning point
A11,"Sie las gemütlich, plötzlich ging das Licht aus.","Sie las gemütlich, ______ ging das Licht aus.",plötzlich,,,Everyday,Easy,Sudden change
A12,"Zuerst wärmen wir uns auf, dann beginnen wir mit dem Training.","______ wärmen wir uns auf, dann beginnen wir mit dem Training.",Zuerst,Erst / Zunächst,Sequence-start; 'erst'/'zunächst' interchangeable,Hobbies,Easy,Sequence-start adverb
A12,"Zuerst liest du die Anleitung, danach baust du das Modell.","______ liest du die Anleitung, danach baust du das Modell.",Zuerst,Erst / Zunächst,'erst'/'zunächst' interchangeable,School,Easy,First-step adverb
A12,"Zuerst begrüsste uns die Lehrerin, dann begann der Unterricht.","______ begrüsste uns die Lehrerin, dann begann der Unterricht.",Zuerst,Zunächst,'zunächst' interchangeable,School,Medium,Opening step
A12,"Zuerst packten wir die Zelte ein, danach räumten wir den Platz auf.","______ packten wir die Zelte ein, danach räumten wir den Platz auf.",Zuerst,Erst / Zunächst,'erst'/'zunächst' interchangeable,Travel & Nature,Medium,Ordered actions
A12,"Zuerst wäschst du dir die Hände, dann setzt du dich an den Tisch.","______ wäschst du dir die Hände, dann setzt du dich an den Tisch.",Zuerst,Erst / Zunächst,'erst'/'zunächst' interchangeable,Family,Easy,Routine first step
A13,"Wir machten die Hausaufgaben und gingen später auf den Spielplatz.","Wir machten die Hausaufgaben und gingen ______ auf den Spielplatz.",später,danach / dann,Sequence with gap: 'danach'/'dann' also fit,Everyday,Easy,Later-time adverb
A13,"Zuerst waren wir müde, später wurden wir wieder munter.","Zuerst waren wir müde, ______ wurden wir wieder munter.",später,dann,Development over time; 'dann' also fits,Everyday,Medium,Time-progress adverb
A13,"Wir besichtigten die Altstadt und assen später in einem Restaurant.","Wir besichtigten die Altstadt und assen ______ in einem Restaurant.",später,danach / dann,Sequence with gap: 'danach'/'dann' also fit,Travel,Easy,Sequence in a trip
A13,"Er übte zuerst allein, später spielte er im Orchester mit.","Er übte zuerst allein, ______ spielte er im Orchester mit.",später,danach / dann,'danach'/'dann' also fit,Hobbies,Medium,Progression over time
A13,"Wir starteten früh und erreichten später die Berghütte.","Wir starteten früh und erreichten ______ die Berghütte.",später,danach / dann,'danach'/'dann' also fit,Nature & Travel,Medium,Later arrival
A14,"Beeil dich, sonst verpassen wir den Bus.","Beeil dich, ______ verpassen wir den Bus.",sonst,,Alternative-consequence adverb; inversion,Travel,Easy,Otherwise adverb
A14,"Du musst mehr üben, sonst bestehst du die Prüfung nicht.","Du musst mehr üben, ______ bestehst du die Prüfung nicht.",sonst,,Inversion,School,Medium,Warning consequence
A14,"Zieh eine Jacke an, sonst wirst du krank.","Zieh eine Jacke an, ______ wirst du krank.",sonst,,,Everyday,Easy,Precaution warning
A14,"Wir müssen jetzt gehen, sonst wird es zu spät.","Wir müssen jetzt gehen, ______ wird es zu spät.",sonst,,,Everyday,Easy,Time warning
A14,"Nimm genug Wasser mit, sonst bekommst du unterwegs Durst.","Nimm genug Wasser mit, ______ bekommst du unterwegs Durst.",sonst,,Swiss hiking context,Nature & Travel,Medium,Preventive advice
A15,"Ich deckte den Tisch, inzwischen kochte meine Mutter das Essen.","Ich deckte den Tisch, ______ kochte meine Mutter das Essen.",inzwischen,unterdessen,Parallel immediate actions: 'mittlerweile' excluded (implies a longer shift),Family,Medium,Meanwhile adverb inversion
A15,"Die Gäste kamen später, inzwischen bereiteten wir alles vor.","Die Gäste kamen später, ______ bereiteten wir alles vor.",inzwischen,unterdessen,Parallel prep; 'mittlerweile' excluded (implies a longer shift),Everyday,Medium,Parallel-time adverb
A15,"Er trainierte hart, inzwischen wurde er deutlich schneller.","Er trainierte hart, ______ wurde er deutlich schneller.",inzwischen,mittlerweile,Progress over time,Hobbies,Medium,Development over time
A15,"Wir warteten auf den Zug, inzwischen assen wir ein Sandwich.","Wir warteten auf den Zug, ______ assen wir ein Sandwich.",inzwischen,unterdessen,Filling a wait; 'mittlerweile' excluded (implies a longer shift),Travel,Easy,Filling the wait
A15,"Sie las ein Buch, inzwischen wurde es draussen dunkel.","Sie las ein Buch, ______ wurde es draussen dunkel.",inzwischen,mittlerweile,,Everyday,Medium,Passing time
A17,"Entweder du kommst jetzt mit, oder du bleibst allein zu Hause.","______ du kommst jetzt mit, oder du bleibst allein zu Hause.",Entweder,,First part of entweder-oder; here the isolated first element,Family,Medium,Alternative first element
A17,"Entweder wir nehmen den Zug, oder wir fahren mit dem Auto.","______ wir nehmen den Zug, oder wir fahren mit dem Auto.",Entweder,,Isolated first part,Travel,Medium,Choice opener
A17,"Entweder wir gewinnen heute, oder wir üben noch härter.","______ wir gewinnen heute, oder wir üben noch härter.",Entweder,,Capitalized,Hobbies,Medium,Alternative opener
A17,"Entweder du entscheidest dich jetzt, oder ich wähle für dich.","______ du entscheidest dich jetzt, oder ich wähle für dich.",Entweder,,,Everyday,Medium,Forcing a choice
A17,"Entweder wir lösen die Aufgabe gemeinsam, oder jeder rechnet allein.","______ wir lösen die Aufgabe gemeinsam, oder jeder rechnet allein.",Entweder,,,School,Medium,Paired opener
P03,"Sie ist sehr musikalisch und spielt sowohl Klavier als auch Geige.","Sie ist sehr musikalisch und spielt ______ Klavier ______ Geige.",sowohl ... als auch,,Positive context ('musikalisch') forces the both-and reading,Hobbies,Medium,Paired addition
P03,"An diesem vollen Ausflugstag besuchten wir sowohl das Museum als auch den Zoo.","An diesem vollen Ausflugstag besuchten wir ______ das Museum ______ den Zoo.",sowohl ... als auch,,'vollen Ausflugstag' forces both-and,Travel,Easy,Both-and pairing
P03,"Er ist ein echtes Vorbild und sowohl im Sport als auch in der Schule sehr gut.","Er ist ein echtes Vorbild und ______ im Sport ______ in der Schule sehr gut.",sowohl ... als auch,,'Vorbild ... sehr gut' rules out neither-nor,School & Hobbies,Medium,Equal positive pairing
P03,"Für einen guten Kuchen braucht man unbedingt sowohl Mehl als auch Zucker.","Für einen guten Kuchen braucht man unbedingt ______ Mehl ______ Zucker.",sowohl ... als auch,,'unbedingt braucht man' rules out neither-nor,Everyday,Easy,Ingredient pairing
P03,"Die lange Bergtour war eindrücklich: Sie war sowohl anstrengend als auch wunderschön.","Die lange Bergtour war eindrücklich: Sie war ______ anstrengend ______ wunderschön.",sowohl ... als auch,,'eindrücklich' rules out neither-nor; Swiss context,Nature & Travel,Medium,Two-quality pairing
P04,"Sie ist nicht nur klug, sondern auch sehr fleissig.","Sie ist ______ klug, ______ sehr fleissig.",nicht nur ... sondern auch,,Two blanks; emphatic addition; comma before sondern,School,Challenging,Emphatic paired addition
P04,"Wir haben nicht nur gelernt, sondern auch viel gelacht.","Wir haben ______ gelernt, ______ viel gelacht.",nicht nur ... sondern auch,,Two blanks; comma before sondern,School,Medium,Not-only-but-also
P04,"Der Ausflug war nicht nur lehrreich, sondern auch lustig.","Der Ausflug war ______ lehrreich, ______ lustig.",nicht nur ... sondern auch,,Comma before sondern,School,Medium,Two-benefit emphasis
P04,"Er hilft nicht nur zu Hause, sondern auch im Verein.","Er hilft ______ zu Hause, ______ im Verein.",nicht nur ... sondern auch,,Comma before sondern,Family & Hobbies,Medium,Wide-scope help
P04,"Das Buch ist nicht nur spannend, sondern auch lehrreich.","Das Buch ist ______ spannend, ______ lehrreich.",nicht nur ... sondern auch,,Comma before sondern,Everyday,Medium,Book with two qualities
P05,"Die Aufgabe war zwar schwierig, aber sehr interessant.","Die Aufgabe war ______ schwierig, ______ sehr interessant.",zwar ... aber,,Two blanks; concede then limit; comma before aber,School,Challenging,Concessive pairing
P05,"Der Weg war zwar lang, aber landschaftlich schön.","Der Weg war ______ lang, ______ landschaftlich schön.",zwar ... aber,,Two blanks; Swiss context; comma before aber,Nature & Travel,Medium,Concede-then-limit
P05,"Das Zimmer ist zwar klein, aber sehr gemütlich.","Das Zimmer ist ______ klein, ______ sehr gemütlich.",zwar ... aber,,Comma before aber,Everyday,Medium,Small-but-cozy
P05,"Er ist zwar noch jung, aber schon sehr verantwortungsvoll.","Er ist ______ noch jung, ______ schon sehr verantwortungsvoll.",zwar ... aber,,Comma before aber,Family,Medium,Young-but-responsible
P05,"Das Spiel war zwar knapp, aber am Ende haben wir es verdient gewonnen.","Das Spiel war ______ knapp, ______ am Ende haben wir es verdient gewonnen.",zwar ... aber,,Swiss sports context; comma before aber; subject 'wir es' added,Hobbies,Medium,Close-but-deserved
